Ba,Ca,Sr,Ti,Zr,Sn,Hf,NCT,ea,av,AN,t,D,EVW,P,evw,ENMB,T0,a0,a11,a111
91,9,0,91,0,9,0,-70.83,3386952353,4106095.46,2.151712887,1.048979685,0.206696982,1.239126874,2.731168181,73881.5426,0.584434418,51.1,3.72881,-1.48,1.64
86,14,0,92,8,0,0,-44.56,3397667989,3950789.68,2.174061433,1.04343309,0.207986689,1.229268691,2.511706136,73810.9488,0.591489822,90.4,3.29944,-5.55,4.49
87,13,0,92,8,0,0,-44.56,3391931095,3963773.373,2.189419795,1.044380964,0.207986689,1.230370552,2.523075888,73877.1096,0.591002599,85.3,2.91525,-7.78,5.47
86,14,0,90,10,0,0,-55.7,3398860197,3975214.706,2.141176471,1.042242961,0.210084034,1.227965756,2.500602813,73889.266,0.592516269,75.5,2.32768,-5.35,3.2
85,15,0,93,0,7,0,-55.09,3416461901,3985103.649,2.111853088,1.044170031,0.205170291,1.232694356,2.632641496,73473.933,0.587461051,62.7,3.35028,-7.78,6.64
86,14,0,90,9,1,0,-58,3400807500,3983738.438,2.132217573,1.042398041,0.209819555,1.228516661,2.517804154,73856.1318,0.591938455,68.7,1.9661,-5.15,2.7
92,8,0,91,0,9,0,-70.83,3381184862,4119371.396,2.16639478,1.049928289,0.206696982,1.240232615,2.743257744,73947.4712,0.583951015,51.2,3.61017,-2.94,2.61
93,7,0,97,0,2,1,-20.78,3356940366,3994458.656,2.319167389,1.053441602,0.20242915,1.241643454,2.660381268,73995.2132,0.584314991,95.1,5.35593,-6.59,5.63
90,10,0,97,0,3,0,-23.61,3377562474,3966766.535,2.294220665,1.05069351,0.202183583,1.238629845,2.640867088,73779.338,0.585295066,93.9,6.61582,-8.17,8.13
93,7,0,95,1,1,3,-28.56,3353248903,4006347.29,2.232053422,1.052183855,0.204666394,1.240271697,2.635984123,74077.0529,0.585701192,97,4.27119,-3.53,2.43
79,21,0,96,0,4,0,-31.48,3443294913,3845488.138,2.095155709,1.039792115,0.202922078,1.22636021,2.523806199,73060.4664,0.590552451,91.2,3.80226,-5.67,5.57
79,21,0,92,0,8,0,-62.96,3453588785,3926525.012,1.998349835,1.038034836,0.205930807,1.225958388,2.57339123,73084.4128,0.590298668,53.1,3.29944,-5.6,3.66
79,21,0,90,0,10,0,-78.7,3458735721,3967043.45,1.953225806,1.037158423,0.20746888,1.225757576,2.598921639,73096.386,0.590171858,39.2,2.69492,-1.78,1.28
