"","ba","ca","sr","cd","ti","zr","sn","hf","Phase"
"197",86,14,0,0,90,10,0,0,"T"
"198",85,15,0,0,93,0,7,0,"T"
"199",86,14,0,0,90,9,1,0,"T"
"200",92,8,0,0,91,0,9,0,"T"
"201",88,12,0,0,74,26,0,0,"C"
"204",83,4,13,0,75,6,19,0,"C"
"205",84,16,0,0,85,0,15,0,"C"
"207",92,8,0,0,79,21,0,0,"C"
"212",85,15,0,0,83,0,17,0,"C"
"213",83,17,0,0,85,0,15,0,"C"
"214",93,7,0,0,97,0,2,1,"T"
"215",89,11,0,0,84,0,16,0,"C"
"216",86,14,0,0,83,0,17,0,"C"
"217",87,13,0,0,83,0,17,0,"C"
"218",68,2,30,0,90,10,0,0,"C"
"219",85,15,0,0,85,0,15,0,"C"
"220",90,10,0,0,97,0,3,0,"T"
"221",84,16,0,0,84,0,16,0,"C"
"222",82,18,0,0,87,0,13,0,"C"
"223",84,16,0,0,91,0,9,0,"T"
"224",93,7,0,0,95,1,1,3,"T"
"225",80,20,0,0,84,0,16,0,"C"
"226",60,10,30,0,90,9,0,1,"C"
"227",90,10,0,0,84,0,16,0,"C"
"228",80,20,0,0,85,0,15,0,"C"
"229",69,1,30,0,90,10,0,0,"C"
"230",93,7,0,0,87,0,13,0,"R"
"231",88,12,0,0,79,19,0,2,"C"
"232",71,0,29,0,90,1,0,9,"C"
"233",65,5,30,0,90,9,0,1,"C"
"234",79,21,0,0,85,0,15,0,"C"
"235",81,19,0,0,85,0,15,0,"C"
"248",100,0,0,0,85,0,0,15,"R"
"249",100,0,0,0,80,0,0,20,"R"
"250",100,0,0,0,75,0,0,25,"C"
"251",100,0,0,0,70,0,0,30,"C"
"252",100,0,0,0,65,0,0,35,"C"
"253",100,0,0,0,85,15,0,0,"R"
"254",100,0,0,0,80,20,0,0,"R"
"255",100,0,0,0,75,25,0,0,"C"
"256",100,0,0,0,70,30,0,0,"C"
"257",100,0,0,0,65,35,0,0,"C"
"258",100,0,0,0,95,0,5,0,"T"
"259",100,0,0,0,90,0,10,0,"T"
"260",100,0,0,0,85,0,15,0,"C"
"261",100,0,0,0,80,0,20,0,"C"
"262",100,0,0,0,75,0,25,0,"C"
"263",79,21,0,0,96,0,4,0,"T"
"264",79,21,0,0,92,0,8,0,"T"
"265",79,21,0,0,90,0,10,0,"T"
"266",79,21,0,0,88,0,12,0,"T"
"267",79,21,0,0,86,0,14,0,"C"
"268",79,21,0,0,84,0,16,0,"C"
"269",79,21,0,0,82,0,18,0,"C"
"270",79,21,0,0,80,0,20,0,"C"
"271",79,21,0,0,76,0,24,0,"C"
